French,English
remonter,to go up
remplacer,to replace
remplir,to fill
rencontrer,to meet
rendre,to return
renoncer,to give up
rénover,to renovate
rentrer,to return
réparer,to repair
répéter,to repeat
répondre,to answer
reposer,to rest
représenter,to represent
reproduire,to reproduce
résider,to reside
résister,to resist
résoudre,to solve
respecter,to respect
respirer,to breathe
ressembler,to resemble
rester,to stay
restreindre,to restrict
résulter,to result
retenir,to retain
retirer,to withdraw
retourner,to return
réunir,to gather
réussir,to succeed
révéler,to reveal
revenir,to come back
rêver,to dream
revoir,to see again
risquer,to risk
rire,to laugh
rompre,to break
sacrifier,to sacrifice
saisir,to seize
saluer,to greet
satisfaire,to satisfy
sauver,to save
savoir,to know
sécher,to dry
secouer,to shake
sembler,to seem
sentir,to feel
séparer,to separate
serrer,to tighten
servir,to serve
signer,to sign
signifier,to mean
situer,to situate
solliciter,to solicit
sonner,to ring
sortir,to go out
souffrir,to suffer
souhaiter,to wish
soulager,to relieve
soulever,to raise
soumettre,to submit
soupçonner,to suspect
sourire,to smile
soutenir,to support
stimuler,to stimulate
stopper,to stop
stresser,to stress
subir,to undergo
succéder,to succeed
suffire,to suffice
suggérer,to suggest
suivre,to follow
suppléer,to supplement
supporter,to support
supprimer,to delete
surprendre,to surprise
surveiller,to monitor
survivre,to survive
susciter,to arouse
suspendre,to suspend
symboliser,to symbolize
téléphoner,to phone
tendre,to stretch
tenir,to hold
tenter,to attempt
terminer,to finish
tirer,to pull
tolérer,to tolerate
tomber,to fall
toucher,to touch
tourner,to turn
traduire,to translate
trahir,to betray
traiter,to treat
trancher,to slice
transformer,to transform
transmettre,to transmit
transporter,to transport
travailler,to work
traverser,to cross
trier,to sort
triompher,to triumph
tromper,to deceive
trouver,to find
tuer,to kill
utiliser,to use
vaincre,to conquer
valoir,to be worth
vanter,to boast
varier,to vary
vendre,to sell
vérifier,to verify
verser,to pour
vider,to empty
vieillir,to age
viser,to aim
visiter,to visit
vivre,to live
voler,to fly
voter,to vote
vouloir,to want
voyager,to travel
